;id;date;price;bedrooms;bathrooms;m2_living;m2_lot;floors;waterfront;view;condition;grade;m2_above;m2_basement;yr_built;yr_renovated;zipcode;lat;long;dormitory_type;condition_type;level;price_per_m2;renovate_type;renovate_price_m2;sale_price_01;sale_price_02
0;2023049218;2014-07-16;105500.0;2;1.0;86.39910813823857;719.0635451505017;1.0;0;0;1;5;86.39910813823857;0.0;1932;0;98148;47.4611;-122.324;apartament;very bad;low;146.7186046511628;recontruction;735.29;301875.0;315000.0
1;2023049218;2015-03-16;445000.0;2;1.0;86.39910813823857;719.0635451505017;1.0;0;0;1;5;86.39910813823857;0.0;1932;0;98148;47.4611;-122.324;apartament;very bad;standard;618.8604651162791;recontruction;735.29;301875.0;315000.0
2;4008400515;2015-01-20;190000.0;1;0.75;72.46376811594203;7209.494611668525;1.0;0;0;1;5;72.46376811594203;0.0;1945;0;98058;47.4396;-122.104;studio;very bad;low;26.354135793719312;recontruction;735.29;301875.0;315000.0
3;623049093;2014-05-22;219900.0;3;1.0;84.54106280193237;557.4136008918618;1.0;0;0;2;6;84.54106280193237;0.0;1956;0;98146;47.5065;-122.338;house;bad;low;394.50059999999996;intervention;551.47;320850.0;334800.0
4;7229700105;2015-04-24;172500.0;2;2.0;140.28242289111856;1921.6833890746937;1.0;0;0;2;6;116.12783351913788;24.154589371980677;1958;0;98059;47.481;-122.116;apartament;bad;low;89.7650471356055;intervention;551.47;320850.0;334800.0
5;5128000010;2015-01-05;99000.0;2;1.0;89.18617614269789;765.1430694908956;1.0;0;0;2;6;89.18617614269789;0.0;1948;0;98058;47.4698;-122.166;apartament;bad;low;129.38756677999027;intervention;551.47;320850.0;334800.0
6;5560000650;2014-12-02;135000.0;3;1.0;141.21144555927165;785.0241545893721;1.0;0;0;2;6;104.05053883314754;37.16090672612412;1961;0;98023;47.328;-122.337;house;bad;low;171.96923076923076;intervention;551.47;320850.0;334800.0
7;3438502668;2014-08-29;194000.0;3;1.75;117.05685618729098;974.3589743589744;1.0;0;0;2;7;103.12151616499443;13.935340022296545;1952;0;98106;47.5417;-122.35700000000001;house;bad;low;199.10526315789474;intervention;551.47;320850.0;334800.0
8;6303400460;2015-03-30;197000.0;2;1.0;71.53474544778894;802.3039762170198;1.0;0;0;2;6;71.53474544778894;0.0;1951;0;98146;47.5075;-122.35799999999999;apartament;bad;low;245.5428439092172;intervention;551.47;320850.0;334800.0
9;3028200080;2015-03-24;81000.0;2;1.0;67.81865477517651;926.7001114827202;1.0;0;0;1;5;67.81865477517651;0.0;1943;0;98168;47.4808;-122.315;apartament;very bad;low;87.40691729323308;recontruction;735.29;301875.0;315000.0
10;3812400657;2014-12-04;160000.0;3;1.0;111.48272017837236;776.662950575994;1.0;0;0;2;6;111.48272017837236;0.0;1948;0;98118;47.5414;-122.281;house;bad;low;206.00956937799043;intervention;551.47;320850.0;334800.0
11;4006000401;2014-08-11;140000.0;2;1.0;83.61204013377927;594.5745076179859;1.0;0;0;2;6;83.61204013377927;0.0;1940;0;98118;47.5287;-122.281;apartament;bad;low;235.4625;intervention;551.47;320850.0;334800.0
12;3501100050;2014-12-10;125000.0;3;1.0;114.26978818283166;445.93088071348944;1.5;0;0;1;6;114.26978818283166;0.0;1916;0;98117;47.6941;-122.365;house;very bad;low;280.3125;recontruction;735.29;301875.0;315000.0
13;1180002580;2015-03-19;180000.0;2;1.0;82.68301746562616;557.4136008918618;1.0;0;0;2;6;82.68301746562616;0.0;1919;0;98178;47.4976;-122.225;apartament;bad;low;322.91999999999996;intervention;551.47;320850.0;334800.0
14;9272202260;2014-09-24;130000.0;3;1.0;111.48272017837236;650.3158677071721;2.0;0;0;1;7;111.48272017837236;0.0;1908;0;98116;47.5883;-122.384;house;very bad;low;199.90285714285713;recontruction;735.29;301875.0;315000.0
15;7812800155;2015-03-18;170000.0;3;1.0;73.39279078409514;627.0903010033445;1.0;0;0;2;6;73.39279078409514;0.0;1944;0;98178;47.4984;-122.24;house;bad;low;271.0933333333333;intervention;551.47;320850.0;334800.0
16;2853600155;2014-09-15;110000.0;1;1.0;59.45745076179859;955.0353028613898;1.0;0;0;2;5;59.45745076179859;0.0;1920;0;98126;47.5144;-122.368;studio;bad;low;115.17898832684824;intervention;551.47;320850.0;334800.0
17;2724049185;2015-03-25;175000.0;3;1.75;132.85024154589374;457.07915273132664;1.0;0;0;2;6;132.85024154589374;0.0;1957;0;98118;47.5388;-122.275;house;bad;low;382.8658536585366;intervention;551.47;320850.0;334800.0
18;1922059298;2015-04-14;175000.0;3;1.0;135.63730955035302;1103.6789297658863;1.0;0;0;2;7;135.63730955035302;0.0;1961;0;98030;47.3762;-122.219;house;bad;low;158.56060606060606;intervention;551.47;320850.0;334800.0
19;8072000035;2015-03-26;200000.0;3;1.0;111.48272017837236;994.3329617242662;1.5;0;0;2;7;111.48272017837236;0.0;1918;0;98118;47.5209;-122.28;house;bad;low;201.13986732691765;intervention;551.47;320850.0;334800.0
20;3122069029;2014-06-19;120000.0;2;1.0;91.9732441471572;3712.7461910070606;1.0;0;0;2;4;91.9732441471572;0.0;1945;0;98042;47.3577;-122.085;apartament;bad;low;32.321088980082074;intervention;551.47;320850.0;334800.0
21;3326079016;2015-05-04;190000.0;2;1.0;65.9606094388703;108212.00297287255;1.0;0;0;2;5;65.9606094388703;0.0;1915;0;98014;47.6888;-121.90899999999999;apartament;bad;low;1.755812615793007;intervention;551.47;320850.0;334800.0
22;1796100140;2014-07-15;170000.0;3;1.5;125.4180602006689;7576.08695652174;1.0;0;0;2;7;125.4180602006689;0.0;1966;0;98092;47.3099;-122.09;house;bad;low;22.4390243902439;intervention;551.47;320850.0;334800.0
23;795000620;2014-09-24;115000.0;3;1.0;100.33444816053512;580.6391675956894;1.0;0;0;2;5;100.33444816053512;0.0;1950;0;98168;47.5045;-122.33;house;bad;low;198.05759999999998;intervention;551.47;320850.0;334800.0
24;795000620;2014-12-15;124000.0;3;1.0;100.33444816053512;580.6391675956894;1.0;0;0;2;5;100.33444816053512;0.0;1950;0;98168;47.5045;-122.33;house;bad;low;213.55775999999997;intervention;551.47;320850.0;334800.0
25;795000620;2015-03-11;157000.0;3;1.0;100.33444816053512;580.6391675956894;1.0;0;0;2;5;100.33444816053512;0.0;1950;0;98168;47.5045;-122.33;house;bad;low;270.39167999999995;intervention;551.47;320850.0;334800.0
26;859000110;2014-10-02;125000.0;1;1.0;46.45113340765515;691.1928651059086;1.0;0;0;1;5;46.45113340765515;0.0;1928;0;98106;47.5252;-122.36200000000001;studio;very bad;low;180.84677419354838;recontruction;735.29;301875.0;315000.0
27;722039087;2014-09-23;220500.0;2;1.0;91.9732441471572;5341.787439613527;1.0;0;0;2;6;91.9732441471572;0.0;1949;0;98070;47.4145;-122.463;apartament;bad;low;41.278317883789285;intervention;551.47;320850.0;334800.0
28;722039087;2015-05-04;329000.0;2;1.0;91.9732441471572;5341.787439613527;1.0;0;0;2;6;91.9732441471572;0.0;1949;0;98070;47.4145;-122.463;apartament;bad;standard;61.589871128193536;intervention;551.47;320850.0;334800.0
29;9264901680;2015-03-23;188000.0;3;1.75;154.2177629134151;682.8316610925307;1.0;0;0;2;8;154.2177629134151;0.0;1979;0;98023;47.3118;-122.337;house;bad;low;275.3240816326531;intervention;551.47;320850.0;334800.0
30;7883606725;2014-11-11;174900.0;3;1.0;102.19249349684132;557.4136008918618;1.5;0;0;2;6;102.19249349684132;0.0;1926;0;98108;47.5279;-122.318;house;bad;low;313.77059999999994;intervention;551.47;320850.0;334800.0
31;3821200050;2014-06-04;119500.0;3;1.0;108.69565217391305;1021.9249349684133;1.0;0;0;2;6;108.69565217391305;0.0;1980;0;98019;47.7346;-121.98299999999999;house;bad;low;116.93618181818182;intervention;551.47;320850.0;334800.0
32;8658300340;2014-05-23;80000.0;1;0.75;39.947974730583425;469.156447417317;1.0;0;0;2;4;39.947974730583425;0.0;1912;0;98014;47.6499;-121.90899999999999;studio;bad;low;170.5188118811881;intervention;551.47;320850.0;334800.0
